name,year,latitude,longitude,city,region,zipCode,cuisine,price,stars
SENNS.Restaurant,2019,47.83636,13.06389,Salzburg,Austria,5020,Creative,$$$$$,2
Ikarus,2019,47.79536,13.00695,Salzburg,Austria,5020,Creative,$$$$$,2
Mraz & Sohn,2019,48.23129,16.37637,Wien,Austria,1200,Creative,$$$$$,2
Konstantin Filippou,2019,48.21056,16.37996,Wien,Austria,1010,Modern cuisine,$$$$$,2
Silvio Nickol Gourmet Restaurant,2019,48.20558,16.37693,Wien,Austria,1010,Modern cuisine,$$$$$,2
Steirereck im Stadtpark,2019,48.20229,16.3805,Wien,Austria,1030,Creative,$$$$$,2
Baumé,2019,37.4285,-122.14272,South San Francisco,California,94306,Contemporary,$$$$,2
Commis,2019,37.82476,-122.25505,San Francisco,California,94601,Contemporary,$$$$,2
Californios,2019,37.75555,-122.417145,San Francisco,California,94110,Mexican,$$$$,2
Lazy Bear,2019,37.760204,-122.41969,San Francisco,California,94110,Contemporary,$$$$,2
Saison,2019,37.76327,-122.41543,San Francisco,California,94107,Californian,$$$$,2
Campton Place,2019,37.78923,-122.40665,San Francisco,California,94108,Indian,$$$$,2
Coi,2019,37.79812,-122.40331,San Francisco,California,94133,Contemporary,$$$$,2
Acquerello,2019,37.79167,-122.42131,San Francisco,California,94109,Italian,$$$$,2
Urasawa,2019,34.067352,-118.40067,Los Angeles,California,90210,Japanese,$$$$,2
Sushi Ginza Onodera,2019,34.08238,-118.37654,Los Angeles,California,N/A,Japanese,$$$$,2
Somni,2019,34.070095,-118.37649,Los Angeles,California,90048,Contemporary,$$$$,2
Providence,2019,34.083523,-118.33019,Los Angeles,California,90028,Seafood,$$$$,2
n/naka,2019,34.02526,-118.41206,Los Angeles,California,90034,Contemporary,$$$$,2
Vespertine,2019,34.024204,-118.38166,Los Angeles,California,90232,Contemporary,$$$$,2
Smyth,2019,41.885,-87.660736,Chicago,Chicago,60607,Contemporary,$$$$,2
Oriole,2019,41.886196,-87.64513,Chicago,Chicago,60661,Contemporary,$$$$,2
Acadia,2019,41.85904,-87.62562,Chicago,Chicago,60616,Contemporary,$$$$,2
KOKS,2019,62.13667,-7.022025,Leynar,Denmark,335,Creative,$$$$,2
Henne Kirkeby Kro,2019,55.72682,8.242021,Henne,Denmark,6854,Classic cuisine,$$$,2
a‚o‚c,2019,55.68305,12.58921,København,Denmark,1302 K,Modern cuisine,$$$$,2
noma,2019,55.68332,12.61006,København,Denmark,1432 K,Creative,$$$$,2
Kadeau Copenhagen,2019,55.67219,12.58848,København,Denmark,1408 K,Modern cuisine,$$$$,2
Spondi,2019,37.96525,23.742971,Athína,Greece,116 36,French,$$$$$,2
Sun Tung Lok,2019,22.30099,114.17221,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Yan Toh Heen,2019,22.293337,114.17395,Hong Kong,Hong Kong,N/A,Cantonese,$$$,2
Tin Lung Heen,2019,22.30357,114.16007,Hong Kong,Hong Kong,N/A,Cantonese,$$$,2
Tenku RyuGin,2019,22.30331,114.16021,Hong Kong,Hong Kong,N/A,Japanese,$$$$$,2
Forum,2019,22.281616,114.1824,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Sushi Saito,2019,22.286467,114.15677,Hong Kong,Hong Kong,N/A,Sushi,$$$$$,2
Pierre,2019,22.282127,114.15948,Hong Kong,Hong Kong,N/A,French contemporary,$$$$,2
Ying Jee Club,2019,22.284338,114.156654,Hong Kong,Hong Kong,N/A,Cantonese,$$,2
Écriture,2019,22.28315,114.1554,Hong Kong,Hong Kong,N/A,French contemporary,$$$,2
Ta Vie,2019,22.282766,114.15529,Hong Kong,Hong Kong,N/A,Innovative,$$$$$,2
Amber,2019,22.280596,114.15764,Hong Kong,Hong Kong,N/A,French contemporary,$$$$,2
Kashiwaya,2019,22.280643,114.15674,Hong Kong,Hong Kong,N/A,Japanese,$$$$,2
